sample_id,true_sg,pred_sg,condition,seed,gate_weight,correct
opxrd_0,225,14,clean,0,0.3075354695320129,False
opxrd_1,88,88,clean,0,0.1978136599063873,True
opxrd_7,61,129,clean,0,0.2806349396705627,False
opxrd_15,221,63,clean,0,0.1531473398208618,False
opxrd_22,216,227,clean,0,0.2861375212669372,False
opxrd_28,15,15,clean,0,0.0589784979820251,True
opxrd_32,14,12,clean,0,0.1261074542999267,False
opxrd_35,2,60,clean,0,0.3050615787506103,False
opxrd_36,163,163,clean,0,0.2449725270271301,True
opxrd_37,11,11,clean,0,0.249141663312912,True
opxrd_38,13,2,clean,0,0.0883460342884063,False
opxrd_46,148,148,clean,0,0.1408262103796005,True
opxrd_53,139,139,clean,0,0.3992308676242828,True
opxrd_61,14,14,clean,0,0.2225469499826431,True
opxrd_68,60,60,clean,0,0.1735742837190628,True
opxrd_76,129,129,clean,0,0.2691982090473175,True
opxrd_83,2,2,clean,0,0.213111326098442,True
opxrd_85,203,203,clean,0,0.1168398186564445,True
opxrd_94,15,15,clean,0,0.3051097393035888,True
opxrd_97,15,19,clean,0,0.0941800996661186,False
opxrd_98,2,14,clean,0,0.1752545982599258,False
opxrd_106,11,11,clean,0,0.250072181224823,True
opxrd_114,33,14,clean,0,0.2852575182914734,False
opxrd_119,62,62,clean,0,0.1746309101581573,True
opxrd_120,4,2,clean,0,0.3119993507862091,False
opxrd_124,19,19,clean,0,0.1397291868925094,True
opxrd_125,224,62,clean,0,0.3390132784843445,False
opxrd_127,11,11,clean,0,0.248321384191513,True
opxrd_150,15,15,clean,0,0.0597247518599033,True
opxrd_152,14,14,clean,0,0.2148675322532653,True
opxrd_168,227,227,clean,0,0.3263078927993774,True
opxrd_170,60,60,clean,0,0.1807411611080169,True
opxrd_178,193,193,clean,0,0.3554682433605194,True
opxrd_184,14,14,clean,0,0.0519121587276458,True
opxrd_187,125,125,clean,0,0.3218056857585907,True
opxrd_189,2,2,clean,0,0.3604603111743927,True
opxrd_200,74,2,clean,0,0.1405729800462722,False
opxrd_201,14,14,clean,0,0.0573884211480617,True
opxrd_203,71,193,clean,0,0.35456183552742,False
opxrd_211,62,62,clean,0,0.343031644821167,True
opxrd_212,129,129,clean,0,0.2985685467720032,True
opxrd_213,74,2,clean,0,0.1050818637013435,False
opxrd_231,4,4,clean,0,0.2912205457687378,True
opxrd_232,148,88,clean,0,0.3120483160018921,False
opxrd_239,176,176,clean,0,0.3415462970733642,True
opxrd_247,19,19,clean,0,0.2476933598518371,True
opxrd_252,36,36,clean,0,0.1271548569202423,True
opxrd_255,14,58,clean,0,0.1986953914165496,False
opxrd_264,60,60,clean,0,0.1883141547441482,True
opxrd_267,221,2,clean,0,0.1374070048332214,False
opxrd_276,15,60,clean,0,0.327965497970581,False
opxrd_283,2,2,clean,0,0.3662381768226623,True
opxrd_285,33,2,clean,0,0.2589176893234253,False
opxrd_286,129,129,clean,0,0.2732318639755249,True
opxrd_289,33,33,clean,0,0.0574302747845649,True
opxrd_294,205,205,clean,0,0.3559173941612243,True
opxrd_304,14,2,clean,0,0.2331281900405883,False
opxrd_309,15,19,clean,0,0.106756217777729,False
opxrd_310,62,62,clean,0,0.3428877592086792,True
opxrd_312,142,11,clean,0,0.3300196528434753,False
opxrd_314,227,227,clean,0,0.2371813654899597,True
opxrd_315,60,60,clean,0,0.2048942893743515,True
opxrd_328,63,13,clean,0,0.0853274166584014,False
opxrd_334,148,148,clean,0,0.1749756336212158,True
opxrd_338,221,221,clean,0,0.1786282360553741,True
opxrd_343,74,65,clean,0,0.3242365717887878,False
opxrd_344,61,61,clean,0,0.1743183732032776,True
opxrd_345,85,19,clean,0,0.3292722105979919,False
opxrd_346,225,225,clean,0,0.3061774373054504,True
opxrd_347,15,15,clean,0,0.2125795781612396,True
opxrd_350,14,14,clean,0,0.2916961908340454,True
opxrd_352,15,60,clean,0,0.2550787925720215,False
opxrd_355,167,2,clean,0,0.1920894384384155,False
opxrd_357,4,4,clean,0,0.0302188415080308,True
opxrd_360,227,14,clean,0,0.0040946933440864,False
opxrd_369,121,121,clean,0,0.2453437149524688,True
opxrd_373,2,15,clean,0,0.1855793595314026,False
opxrd_379,72,72,clean,0,0.2709504663944244,True
opxrd_381,161,18,clean,0,0.242850050330162,False
opxrd_392,29,29,clean,0,0.2040231227874755,True
opxrd_408,2,2,clean,0,0.1723727732896804,True
opxrd_410,12,12,clean,0,0.2186174839735031,True
opxrd_415,14,62,clean,0,0.1937186270952224,False
opxrd_429,141,227,clean,0,0.1609473079442978,False
opxrd_433,14,11,clean,0,0.2965289950370788,False
opxrd_435,140,140,clean,0,0.3751557171344757,True
opxrd_464,74,74,clean,0,0.0868914276361465,True
opxrd_467,60,60,clean,0,0.1756379753351211,True
opxrd_482,14,15,clean,0,0.2918969392776489,False
opxrd_496,148,148,clean,0,0.1276739835739135,True
opxrd_503,14,14,clean,0,0.0372210294008255,True
opxrd_507,87,186,clean,0,0.3144440948963165,False
opxrd_511,19,2,clean,0,0.2360329180955886,False
opxrd_512,74,74,clean,0,0.0571111068129539,True
opxrd_513,14,14,clean,0,0.241173654794693,True
opxrd_519,148,163,clean,0,0.2756201326847076,False
opxrd_529,227,227,clean,0,0.3156844973564148,True
opxrd_531,14,14,clean,0,0.0740013122558593,True
opxrd_535,164,198,clean,0,0.1740153133869171,False
opxrd_536,60,62,clean,0,0.3033035099506378,False
opxrd_540,194,194,clean,0,0.3518285453319549,True
opxrd_542,58,58,clean,0,0.1279481202363968,True
opxrd_544,88,88,clean,0,0.1840001344680786,True
opxrd_545,14,14,clean,0,0.1890683323144912,True
opxrd_553,62,62,clean,0,0.1955396682024002,True
opxrd_557,63,14,clean,0,0.0647627338767051,False
opxrd_558,15,14,clean,0,0.2595424354076385,False
opxrd_560,129,14,clean,0,0.1999012231826782,False
opxrd_561,62,62,clean,0,0.1338610053062439,True
opxrd_564,92,92,clean,0,0.3501351177692413,True
opxrd_576,176,176,clean,0,0.2233793884515762,True
opxrd_586,62,13,clean,0,0.2734483778476715,False
opxrd_588,2,2,clean,0,0.1704881638288498,True
opxrd_600,14,19,clean,0,0.3148850202560425,False
opxrd_608,19,19,clean,0,0.3148205578327179,True
opxrd_613,123,62,clean,0,0.3316488564014435,False
opxrd_618,129,129,clean,0,0.2079869955778122,True
opxrd_619,14,14,clean,0,0.2328220903873443,True
opxrd_624,14,26,clean,0,0.2953314185142517,False
opxrd_627,74,74,clean,0,0.0596348829567432,True
opxrd_629,129,129,clean,0,0.2094651758670807,True
opxrd_631,166,166,clean,0,0.2645194828510284,True
opxrd_632,166,166,clean,0,0.2335021346807479,True
opxrd_633,198,227,clean,0,0.301871508359909,False
opxrd_634,193,193,clean,0,0.3525143563747406,True
opxrd_635,2,2,clean,0,0.3686618208885193,True
opxrd_642,140,140,clean,0,0.2940672934055328,True
opxrd_646,19,19,clean,0,0.0386565886437892,True
opxrd_651,14,19,clean,0,0.0105668436735868,False
opxrd_666,14,60,clean,0,0.287971019744873,False
opxrd_667,2,2,clean,0,0.2036332190036773,True
opxrd_670,15,19,clean,0,0.1719216555356979,False
opxrd_676,14,14,clean,0,0.1480577439069748,True
opxrd_677,19,2,clean,0,0.1396367400884628,False
opxrd_683,2,2,clean,0,0.1694186180830001,True
opxrd_691,26,26,clean,0,0.2941548228263855,True
opxrd_695,148,148,clean,0,0.1181548908352851,True
opxrd_707,191,191,clean,0,0.2966248095035553,True
opxrd_708,45,45,clean,0,0.1959261745214462,True
opxrd_710,9,14,clean,0,0.1774760484695434,False
opxrd_727,2,162,clean,0,0.1859868913888931,False
opxrd_730,14,14,clean,0,0.2878497838973999,True
opxrd_735,62,62,clean,0,0.2053060084581375,True
opxrd_738,61,2,clean,0,0.2180025726556778,False
