sample_id,dataset,model_name,uncertainty_source,true_label,pred_label,true_sg,pred_sg,true_crystal_system,pred_crystal_system,class_count_train,class_frequency_group,symmetry_level,correct,top1_label,top1_prob,top2_label,top2_prob,top3_label,top3_prob,top3_hit,predictive_entropy,normalized_predictive_entropy,max_probability,gate_weight
opxrd_0,opxrd,final_gate_fls_model,single_softmax,224,13,225,14,cubic,monoclinic,289,Head,High symmetry,False,13,0.374085009098053,216,0.2987794876098633,68,0.0456015840172767,False,2.597168812080015,0.4775893591361185,0.374085009098053,0.3075354695320129
opxrd_1,opxrd,final_gate_fls_model,single_softmax,87,87,88,88,tetragonal,tetragonal,11,Head,Medium symmetry,True,87,0.95734441280365,165,0.0037859478034079,226,0.0026756303850561,True,0.3806484856351664,0.0699968617615728,0.95734441280365,0.1978136599063873
opxrd_1005,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8389878273010254,45,0.0015659540658816,147,0.0008375711622647,True,1.31395053986126,0.2416203341693149,0.8389878273010254,0.1360428184270858
opxrd_1015,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8913801312446594,145,0.0007137088687159,10,0.0006823363364674,True,0.9325743831522132,0.1714896620985239,0.8913801312446594,0.0795182287693023
opxrd_1016,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.89784836769104,126,0.0010095193283632,198,0.00080769212218,True,0.8830515777088324,0.1623829899390869,0.89784836769104,0.0756384506821632
opxrd_1024,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8572782278060913,1,0.0007740993169136,10,0.0007577298674732,True,1.1833574650695309,0.2176057754670462,0.8572782278060913,0.1213493645191192
opxrd_1027,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8449543714523315,45,0.0008966362220235,162,0.0008126283646561,True,1.2715422948835051,0.2338219475389162,0.8449543714523315,0.139260858297348
opxrd_1037,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8369680643081665,162,0.0008431958267465,128,0.0008410161826759,True,1.3279710533058378,0.244198544719053,0.8369680643081665,0.1235757693648338
opxrd_1039,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8547351956367493,61,0.0007737615378573,1,0.0007516462937928,True,1.201369017867862,0.2209178920757129,0.8547351956367493,0.1343636065721511
opxrd_1054,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8406929969787598,45,0.001078940462321,162,0.0008227876969613,True,1.30205037122962,0.2394320305504043,0.8406929969787598,0.1427502632141113
opxrd_1058,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.842863917350769,61,0.0008714132127352,139,0.0008337658364325,True,1.2858845825902052,0.2364593286604394,0.842863917350769,0.1492702960968017
opxrd_106,opxrd,final_gate_fls_model,single_softmax,10,10,11,11,monoclinic,monoclinic,13,Head,Low symmetry,True,10,0.9670871496200562,1,0.0010608759475871,128,0.0008673886186443,True,0.3166878937499439,0.0582352473657931,0.9670871496200562,0.250072181224823
opxrd_1061,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8494343757629395,45,0.0017450756859034,147,0.0008365437970496,True,1.2392656088787897,0.2278866376305532,0.8494343757629395,0.1332299709320068
opxrd_1067,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8405926823616028,45,0.0010545138502493,162,0.0008254739805124,True,1.3028162369087553,0.2395728644065561,0.8405926823616028,0.1329593509435653
opxrd_1068,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8402124643325806,45,0.0010247690370306,162,0.0008346511167474,True,1.3053253768863606,0.2400342662793622,0.8402124643325806,0.1289057582616806
opxrd_1072,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8449522852897644,45,0.0008219419396482,162,0.0008060249383561,True,1.27148323384314,0.2338110868954776,0.8449522852897644,0.1415367424488067
opxrd_1079,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8374818563461304,45,0.0008603922906331,162,0.0008474123314954,True,1.3245426941276763,0.2435681090480365,0.8374818563461304,0.1267404556274414
opxrd_1081,opxrd,final_gate_fls_model,single_softmax,224,224,225,225,cubic,cubic,289,Head,High symmetry,True,224,0.8384029269218445,128,0.0008574181701987,162,0.0008508264436386,True,1.3177212253074306,0.2423137196887176,0.8384029269218445,0.1089060306549072
